Epoch,NMAE,NMSE,R2,Error ratio
7.30E+01,7.60E-02,6.73E-02,9.22E-01,4.17E-01
1.05E+02,7.36E-02,6.75E-02,9.22E-01,4.18E-01
1.16E+02,7.56E-02,6.71E-02,9.22E-01,4.19E-01
6.30E+01,7.33E-02,6.74E-02,9.22E-01,4.19E-01
6.00E+00,7.26E-02,6.82E-02,9.21E-01,4.19E-01
5.20E+01,7.94E-02,7.04E-02,9.19E-01,4.20E-01
1.17E+02,8.28E-02,6.85E-02,9.21E-01,4.21E-01
1.04E+02,8.07E-02,6.82E-02,9.21E-01,4.21E-01
8.60E+01,7.63E-02,6.89E-02,9.20E-01,4.21E-01
9.00E+01,7.75E-02,6.96E-02,9.20E-01,4.22E-01
1.02E+02,7.53E-02,6.98E-02,9.19E-01,4.23E-01
3.00E+00,7.21E-02,6.96E-02,9.20E-01,4.23E-01
2.80E+01,7.38E-02,6.85E-02,9.21E-01,4.23E-01
1.20E+02,8.02E-02,7.00E-02,9.19E-01,4.24E-01
1.19E+02,9.01E-02,6.87E-02,9.21E-01,4.24E-01
1.23E+02,7.71E-02,6.97E-02,9.20E-01,4.24E-01
9.90E+01,7.80E-02,7.01E-02,9.19E-01,4.25E-01
6.80E+01,7.88E-02,6.98E-02,9.19E-01,4.26E-01
8.50E+01,8.07E-02,7.15E-02,9.17E-01,4.26E-01
6.40E+01,7.31E-02,7.03E-02,9.19E-01,4.27E-01
6.50E+01,7.37E-02,7.07E-02,9.18E-01,4.27E-01
9.20E+01,8.50E-02,7.09E-02,9.18E-01,4.27E-01
8.70E+01,7.36E-02,7.01E-02,9.19E-01,4.27E-01
1.24E+02,8.20E-02,7.11E-02,9.18E-01,4.29E-01
5.80E+01,7.91E-02,7.24E-02,9.16E-01,4.29E-01
9.70E+01,7.44E-02,7.11E-02,9.18E-01,4.31E-01
7.40E+01,7.41E-02,7.26E-02,9.16E-01,4.31E-01
4.60E+01,7.28E-02,7.31E-02,9.16E-01,4.32E-01
3.20E+01,7.33E-02,7.30E-02,9.16E-01,4.34E-01
4.40E+01,7.17E-02,7.53E-02,9.13E-01,4.38E-01
1.14E+02,8.18E-02,7.82E-02,9.10E-01,4.43E-01
