1.32E+00,6.91E-02,4.27E-02,9.51E-01,3.47E-01
8.90E-01,6.92E-02,4.49E-02,9.48E-01,3.48E-01
6.10E-01,6.89E-02,4.35E-02,9.50E-01,3.48E-01
1.23E+00,7.02E-02,4.52E-02,9.48E-01,3.49E-01
6.20E-01,6.90E-02,4.45E-02,9.49E-01,3.49E-01
1.46E+00,6.94E-02,4.53E-02,9.48E-01,3.52E-01
1.39E+00,6.95E-02,4.71E-02,9.46E-01,3.54E-01
6.00E-01,6.96E-02,4.60E-02,9.47E-01,3.54E-01
6.90E-01,6.92E-02,4.67E-02,9.46E-01,3.55E-01
7.90E-01,6.97E-02,4.73E-02,9.45E-01,3.58E-01
5.90E-01,6.91E-02,4.70E-02,9.46E-01,3.58E-01
5.10E-01,6.97E-02,4.87E-02,9.44E-01,3.61E-01
1.30E+00,6.99E-02,4.99E-02,9.42E-01,3.63E-01
1.41E+00,6.97E-02,4.85E-02,9.44E-01,3.65E-01
1.33E+00,6.94E-02,4.79E-02,9.45E-01,3.65E-01
1.42E+00,6.95E-02,4.78E-02,9.45E-01,3.66E-01
5.50E-01,6.94E-02,4.99E-02,9.42E-01,3.67E-01
5.60E-01,6.99E-02,5.05E-02,9.42E-01,3.70E-01
6.40E-01,6.99E-02,5.27E-02,9.39E-01,3.76E-01
5.30E-01,7.00E-02,5.43E-02,9.37E-01,3.77E-01
